㈜인재컴퍼니,신입,학력무관,,
㈜굿인텔리전스,신입,대졸이상 (졸업예정자 가능),,"AWS, C, C++, Python, Pytorch, Shell Script, Linux, CUDA"
㈜포텍,경력 (2년이상),대졸이상,,"C, C#, C++, Qt"
㈜휴비스,경력 (3년이상),대졸이상,,"C, C++, HMI, MFC, VIsualC·C++, Window"
㈜링키지랩,신입,학력무관,,
㈜인스케이프,경력 (3년이상),학력무관,,
봄바람,경력,학력무관,"협동심, 성장지향성, 메타인지","API, AWS, CSS, Javascript, MSSQL"
㈜아이브릭스,경력 (8년이상),학력무관,,"ElasticStack, JAVA, Javascript, Spring, nodejs"
㈜미니레코드,경력,학력무관,"창의성, 성장지향성, 성실성, 협동심","AWS, Docker, Git, Python, Pytorch, RestAPI, Ubuntu, MachineLearning, Deeplearning, SSH"
㈜엘에이티,경력 (5년이상),학력무관,,
㈜에스아이시티,경력 (5년이상),초대졸이상,,"C#, HTML, JAVA, Python, VB"
㈜뷰브레인헬스케어,신입,대졸이상,"계획성, 성실성, 협동심, 성장지향성, 꼼꼼함","Keras, Python, Pytorch, Tensorflow, CNN, CT, CUDA, DL, EMR, MRI"
㈜알고그랩,경력 (5년이상),대졸이상,,"JAVA, Jquery, Python, Spring, Tensorflow, Vue"
(주)퀀타매트릭스,경력 (3년이상),대졸이상,,"C, C++, Python, Pytorch, R, Numpy"
플릭던,신입,대졸이상 (졸업예정자 가능),"계획성, 성실성, 협동심, 성장지향성, 성취지향성, 꼼꼼함","Azure, Keras, Python, Pytorch, React, Tensorflow, ETL, OCR, RPA, Langchain"
㈜디피,경력 (3년이상),대졸이상,,"JAVA, Javascript, JSP, Node"
㈜시선아이티,경력 (3년이상),대졸이상,"적응성, 협동심, 메타인지, 성실성","Python, Pytorch, SQL, Tensorflow, ETL, Nifi, Scikit-Learn"
(주)퀀타매트릭스,경력 (3년이상),대졸이상,,"C, C++, Python, CNN, 데이터사이언스, RNN"
㈜아이핌,신입,대졸이상,,
㈜미니레코드,경력,학력무관,,"C++, Docker, Python, Pytorch, Linux, GitHub, NLP, REST"
한화시스템,경력,학력무관,,"GraphQL, TypeScript, Vue"
㈜온택트헬스,경력 (5년이상),대학원(석사)이상,,"AWS, C++"
블루닷㈜,경력 (6년이상),대졸이상,,"C, C++"
블루닷㈜,경력 (6년이상),대졸이상,,"Pytorch, Tensorflow"
블루닷㈜,신입,대졸이상,,"Pytorch, Tensorflow"
블루닷㈜,신입,대졸이상,,"C, C++"
씨앤에프시스템㈜,경력 (2년이상),초대졸이상,,"Oracle, Python"
온오프코리아㈜,경력,대졸이상,,"Keras, NoSQL, Python, Pytorch"
㈜원익로보틱스,경력,초대졸이상,,
㈜에이아이네이션,경력 (3년이상),학력무관,,"Python, Pytorch, SQL, Tensorflow"
㈜엘로이랩,신입,학력무관,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
㈜그라비티,경력 (2년이상),학력무관,,
㈜와따에이아이,경력 (3년이상),대졸이상,,"C#, C++, OpenCV, Python, Rust, Segment"
